mirRNA	baseMean	log2FoldChange	lfcSE	stat	pvalue	fdr	bonferroni	homl	BY
hsa-let-7a-5p	138,21859941880268	0,17715066310332536	0,15843966604040263	1,1180954083692107	0,2635262472872907	0,7451431819847529	1	1	1
hsa-let-7a-3p	0,41886971252216154	-0,19125073563782535	2,2372200599431786	-0,08548588449662067	0,9318751169308541	NA	1	1	1
hsa-let-7a-2-3p	0,9719081955821081	0,4989552726487092	1,9223235033725896	0,25955843112427496	0,7952044046820466	NA	1	1	1
hsa-let-7b-5p	1987,6334132985867	0,11500124354378351	0,1348929064239451	0,8525373690322489	0,39391590745436533	0,8208123241029779	1	1	1
hsa-let-7b-3p	3,7775917473946645	-0,5070819849837921	0,7351658117421546	-0,6897518585394194	0,4903502477680373	0,8741026155865013	1	1	1
hsa-let-7c-5p	185,63112601222787	-0,20024825770611596	0,21400157077219345	-0,9357326536602013	0,3494108537496566	0,8014458743348767	1	1	1
hsa-let-7d-5p	64,57866976543113	0,33524829462783345	0,24674327932763176	1,3586927090430803	0,17424398342390726	0,6553417671258198	1	1	1
hsa-let-7d-3p	0,869474583578978	-0,5739456777485372	1,4072182305817462	-0,40785833019748985	0,6833776867235035	NA	1	1	1
hsa-let-7e-5p	41,615608982028604	0,1827794259456582	0,2234225260525249	0,8180886196886351	0,41330658662353453	0,8224890770834962	1	1	1
hsa-let-7e-3p	0,8578696998993515	-0,3416826786161469	1,8548029170911795	-0,18421508585504895	0,8538447252052594	NA	1	1	1
hsa-let-7f-5p	43,501206332890256	-0,28640416468698504	0,21708301576199418	-1,3193301359006053	0,18705876713968594	0,6553417671258198	1	1	1
hsa-let-7f-1-3p	2,307789372964973	-0,14541851644653234	0,8950810670562772	-0,16246407370092358	0,8709404174172765	0,9894665868358149	1	1	1
hsa-miR-15a-5p	38,38080982646667	-0,317922637062307	0,23755762606315806	-1,3382969106526716	0,18079966850825202	0,6553417671258198	1	1	1
hsa-miR-16-5p	711,7542029249322	-0,09168104236137065	0,12475792162477586	-0,7348715109018261	0,4624177502717805	0,8569097293171978	1	1	1
hsa-miR-17-5p	411,89910428285305	0,008260546628004281	0,12361264840886595	0,0668260629824982	0,9467201745227054	0,9894665868358149	1	1	1
hsa-miR-17-3p	3,155992960422845	0,18012335297967214	0,6777645861471339	0,2657609392128519	0,7904233276552233	0,9894665868358149	1	1	1
hsa-miR-18a-5p	44,92001444333998	-0,25961089614927474	0,2267016345636414	-1,1451655240553407	0,25214059678332434	0,7432008921457433	1	1	1
hsa-miR-18a-3p	13,174382066240812	0,29072165372475406	0,32082886337581207	0,9061580391045083	0,364852209121622	0,8140920040264762	1	1	1
hsa-miR-19a-3p	5,696923059839199	-0,25811378247863226	0,45977752573197894	-0,5613884281701411	0,5745327709155452	0,9163006675132798	1	1	1
hsa-miR-19b-1-5p	0,5037410807201776	-0,09507129451601871	2,2732753282868794	-0,041821284616528884	0,9666411671849743	NA	1	1	1
hsa-miR-19b-3p	16,06606118306607	-0,7203313031019862	0,3557899271695371	-2,024597235881672	0,0429087383258966	0,2872258402223283	1	1	1
hsa-miR-20a-5p	298,53532798120176	-0,17201706246575274	0,138916905179397	-1,2382730686636754	0,215614826196918	0,6933496371822461	1	1	1
hsa-miR-20a-3p	1,391532839804509	0,749471767003181	0,8683588432319519	0,8630899228407877	0,3880880280601731	NA	1	1	1
