mirRNA	baseMean	log2FoldChange	lfcSE	stat	pvalue	fdr	bonferroni	homl	BY
hsa-let-7a-5p	138,21859941880268	0,22301396077416308	0,15598295540914353	1,429732884527012	0,15279369828819733	0,5218048941540324	1	1	1
hsa-let-7a-3p	0,41886971252216154	1,9400273463727262	2,1674889125584524	0,895057564138939	0,3707563170541806	NA	1	1	1
hsa-let-7a-2-3p	0,9719081955821081	0,37935358626850063	1,8464144094348305	0,20545419507672552	0,8372172817020618	NA	1	1	1
hsa-let-7b-5p	1987,6334132985867	0,33703649275216274	0,13466863703168552	2,502709615104095	0,012324661878988437	0,11153819000484536	1	1	1
hsa-let-7b-3p	3,7775917473946645	1,2907550126819645	0,7015442013833609	1,8398769601926017	0,0657863032833748	NA	1	1	1
hsa-let-7c-5p	185,63112601222787	0,19900810865326474	0,21382336100578148	0,9307126579489312	0,3520022202127813	0,6777915091331215	1	1	1
hsa-let-7d-5p	64,57866976543113	-0,017633188082248053	0,24374535180952928	-0,07234266397837696	0,9423292126756202	0,9690999289448139	1	1	1
hsa-let-7d-3p	0,869474583578978	0,18391395519924766	1,4282213415202427	0,12877132546099893	0,8975385955545263	NA	1	1	1
hsa-let-7e-5p	41,615608982028604	0,2501680478755714	0,21703402730497603	1,1526673995872336	0,2490469272430181	0,6025009522407558	1	1	1
hsa-let-7e-3p	0,8578696998993515	1,1485267335148723	1,7901828104927688	0,6415695239519851	0,5211527261005533	NA	1	1	1
hsa-let-7f-5p	43,501206332890256	0,24154148445328016	0,216681749195946	1,1147292531539121	0,26496646130352275	0,6069236308405276	1	1	1
hsa-let-7f-1-3p	2,307789372964973	-0,6892552837710134	0,9388361953212063	-0,7341592571803187	0,46285168165190665	NA	1	1	1
hsa-miR-15a-5p	38,38080982646667	-0,21170671413298708	0,2420710900645641	-0,8745642202731505	0,38181106301530743	0,6910780240577065	1	1	1
hsa-miR-16-5p	711,7542029249322	-0,22587261512484563	0,12506541106873936	-1,8060358431213237	0,0709127410041719	0,32088015304387785	1	1	1
hsa-miR-17-5p	411,89910428285305	-0,05683657651116649	0,12357122221905974	-0,4599499421508511	0,6455521514664622	0,8583755382309639	1	1	1
hsa-miR-17-3p	3,155992960422845	-0,953172038374021	0,7113129447358093	-1,3400178436623857	0,1802395438432099	NA	1	1	1
hsa-miR-18a-5p	44,92001444333998	-0,04143512778529948	0,22884134171236856	-0,1810648699891798	0,8563166584785444	0,9268735321999939	1	1	1
hsa-miR-18a-3p	13,174382066240812	-0,2299566090071724	0,3168839870862631	-0,7256807487232636	0,4680345062010691	0,7377741251440577	1	1	1
hsa-miR-19a-3p	5,696923059839199	-0,6564990770836677	0,4895530452208237	-1,341017247247516	0,17991485292079734	NA	1	1	1
hsa-miR-19b-1-5p	0,5037410807201776	1,8438911920873093	2,1799960755175083	0,845823170415382	0,39765139759427176	NA	1	1	1
hsa-miR-19b-3p	16,06606118306607	0,9249157217242152	0,3512709291788572	2,633055128946564	0,00846206109201331	0,09635313068819398	1	1	1
hsa-miR-20a-5p	298,53532798120176	0,1719012073009323	0,1387452500047326	1,2389700353350386	0,21535659518586497	0,5962999928816848	1	1	1
hsa-miR-20a-3p	1,391532839804509	-1,5169046813014557	0,9325516956457459	-1,6266172571281148	0,1038184118480352	NA	1	1	1
hsa-miR-21-5p	1018,0473450348401	0,11354084811203757	0,24104514117842832	0,4710356224438122	0,6376152966101865	0,8583755382309639	1	1	1
hsa-miR-21-3p	10,411053890440169	-0,3128683767103727	0,37104799555223894	-0,8432019050385214	0,3991155331756858	NA	1	1	1
hsa-miR-22-5p	1,4714836996167036	-0,06665135709789352	0,9436527440589534	-0,07063123327677154	0,9436912519216804	NA	1	1	1
hsa-miR-22-3p	15,262757022232643	-0,04220131231158548	0,37069953789767596	-0,11384236557433823	0,9093627540109969	0,9561612356795176	1	1	1
hsa-miR-23a-5p	2,154517174027036	2,1325811393096488	1,3053288767650015	1,6337500665692983	0,1023113409517473	NA	1	1	1
