mirRNA	baseMean	log2FoldChange	lfcSE	stat	pvalue	fdr	bonferroni	homl	BY
hsa-let-7a-5p	138,21859941880268	0,11739330954994734	0,15556624654475446	0,7546194123554608	0,4504773725843017	1	1	1	1
hsa-let-7a-3p	0,41886971252216154	1,3145759465684659	2,1674889125584524	0,6064971954189937	0,5441846441478775	1	1	1	1
hsa-let-7a-2-3p	0,9719081955821081	-0,028904147722917075	1,8136681201995049	-0,0159368450054344	0,9872847756663984	1	1	1	1
hsa-let-7b-5p	1987,6334132985867	0,13722875831710732	0,13457119331607698	1,019748394404056	0,3078478035096927	1	1	1	1
hsa-let-7b-3p	3,7775917473946645	0,16896421884860077	0,6148364720118541	0,27481163941969783	0,7834609553124392	1	1	1	1
hsa-let-7c-5p	185,63112601222787	-0,278797673748102	0,21203348818114803	-1,3148756648757052	0,18855169253281798	1	1	1	1
hsa-let-7d-5p	64,57866976543113	-0,21429013312240705	0,24233991026357593	-0,8842544048536572	0,37655889542681764	1	1	1	1
hsa-let-7d-3p	0,869474583578978	0,0423321191337416	1,4173519145850084	0,029867049035691446	0,9761730851796379	1	1	1	1
hsa-let-7e-5p	41,615608982028604	0,07760889606252801	0,21476161457449852	0,36137228813581257	0,7178211611590786	1	1	1	1
hsa-let-7e-3p	0,8578696998993515	0,09469744024338823	1,6949467679200003	0,05587045094023735	0,9554450107818983	1	1	1	1
hsa-let-7f-5p	43,501206332890256	-0,11167199035905083	0,2114459008923163	-0,5281350448875448	0,5974056087657642	1	1	1	1
hsa-let-7f-1-3p	2,307789372964973	0,009984456272188375	1,0046330881246437	0,009938410739413766	0,9920704260489762	1	1	1	1
hsa-miR-15a-5p	38,38080982646667	0,22657033019561595	0,25077520834310724	0,9034797805276887	0,3662713146477238	1	1	1	1
hsa-miR-16-5p	711,7542029249322	-0,3238632088255373	0,1249949573282866	-2,591010195514875	0,009569465638443199	0,8749225726576639	1	1	1
hsa-miR-17-5p	411,89910428285305	0,07952875419769177	0,12423149091556314	0,640165819564585	0,5220648017401184	1	1	1	1
hsa-miR-17-3p	3,155992960422845	0,043373021475509914	0,7808910652995341	0,05554298595908879	0,9557058849418381	1	1	1	1
hsa-miR-18a-5p	44,92001444333998	0,11720924789266916	0,2322745139625624	0,5046151895578209	0,6138291391377206	1	1	1	1
hsa-miR-18a-3p	13,174382066240812	0,10254701597971073	0,3304914809235113	0,3102864125064819	0,7563431628612036	1	1	1	1
hsa-miR-19a-3p	5,696923059839199	0,31503189236041806	0,5516433182147384	0,5710789598248799	0,5679461202012982	1	1	1	1
hsa-miR-19b-1-5p	0,5037410807201776	1,225996031656912	2,1795226787738096	0,562506664232855	0,5737708643977355	1	1	1	1
hsa-miR-19b-3p	16,06606118306607	0,4244397844312802	0,334850397466867	1,2675504871493484	0,20495852314546073	1	1	1	1
hsa-miR-20a-5p	298,53532798120176	0,0342360549077547	0,13839749664504877	0,24737481340114623	0,8046181645547568	1	1	1	1
hsa-miR-20a-3p	1,391532839804509	0,05078117394812105	1,0943436125520947	0,04640331735449654	0,9629887924964948	1	1	1	1
hsa-miR-21-5p	1018,0473450348401	0,13109341612090658	0,24109761767043286	0,5437358418866837	0,5866232643294624	1	1	1	1
hsa-miR-21-3p	10,411053890440169	0,18061922281435594	0,3905544603457386	0,46246872370747644	0,6437452261327623	1	1	1	1
hsa-miR-22-5p	1,4714836996167036	2,0381739871637357	1,221132077127889	1,6690856176323978	0,09510041319082821	1	1	1	1
hsa-miR-22-3p	15,262757022232643	-0,03948417483418695	0,3721573375446817	-0,10609538184759404	0,9155066752181641	1	1	1	1
hsa-miR-23a-5p	2,154517174027036	0,04902509576791896	1,1189618271012751	0,043813018979316616	0,9650534494053702	1	1	1	1
hsa-miR-23a-3p	746,8193359682133	-0,059683010166924906	0,12771304216640392	-0,46732118470062617	0,6402701019424438	1	1	1	1
hsa-miR-24-3p	523,5299010607218	-0,07200509994914236	0,11130903695998459	-0,6468935669170157	0,517700829618425	1	1	1	1
hsa-miR-24-2-5p	2,170579350021747	0,9276379105299115	0,8781732432593474	1,0563267756678347	0,2908189470635888	1	1	1	1
hsa-miR-25-3p	24,914030657691693	0,07949689199443492	0,23274007858677162	0,34156941287100406	0,7326749591474774	1	1	1	1
hsa-miR-26a-5p	962,7717161205268	-0,18498228091811583	0,1174002775742969	-1,5756545447777974	0,1151054383871965	1	1	1	1
hsa-miR-26b-5p	75,54159297035011	0,013385432072806153	0,20362087491406566	0,06573703250442874	0,9475871884896151	1	1	1	1
hsa-miR-26b-3p	0,566489248953821	-0,6228845319706885	2,142365160277698	-0,2907462012171393	0,7712454337415511	1	1	1	1
hsa-miR-27a-5p	24,480625473314625	-0,3561558593480075	0,8980673115927169	-0,3965803617953394	0,6916769365433599	1	1	1	1
hsa-miR-27a-3p	52,00678679740567	0,17639599839535122	0,19684972782165855	0,8960947030374462	0,37020218585804104	1	1	1	1
hsa-miR-28-5p	12,661862480838412	-0,47795033924756875	0,3838372444473259	-1,2451901063841604	0,21306187847014937	1	1	1	1
hsa-miR-28-3p	17,529867235110324	-0,29247022667670625	0,3755749491948957	-0,7787266624242709	0,43614074660093866	1	1	1	1
hsa-miR-29a-5p	9,781251001285202	0,6306448531628421	0,41054615961087104	1,5361119289499328	0,12451093109241596	1	1	1	1
hsa-miR-29a-3p	30,470109610764172	-0,12739429957195983	0,23510052121316066	-0,5418716169346733	0,5879069507982646	1	1	1	1
hsa-miR-30a-5p	91,28265308001154	-0,07918785023304085	0,2335186310007856	-0,33910720482416007	0,7345289710168442	1	1	1	1
hsa-miR-30a-3p	2,896184615535115	0,21107477432017585	0,6753024365877414	0,31256332405184667	0,7546124460449977	1	1	1	1
hsa-miR-31-5p	409,24938391117325	-0,11441742369333473	0,08733443920147867	-1,3101065826892895	0,19015978187425173	1	1	1	1
hsa-miR-31-3p	0,7391948892600904	-0,9289168292447452	1,106991393590193	-0,8391364509457326	0,4013927433765937	1	1	1	1
hsa-miR-33a-3p	0,5064093262199063	-2,6704405606995256	2,114295556492733	-1,2630403315652543	0,20657468574044752	1	1	1	1
hsa-miR-92a-1-5p	2,861469807476736	-0,43417384182001656	0,9321397187439742	-0,4657819349282216	0,6413715971408267	1	1	1	1
hsa-miR-92a-3p	906,1341063137197	0,20379610376903487	0,1664977395933639	1,224017240514883	0,22094572382467012	1	1	1	1
hsa-miR-93-5p	93,47261076205245	-0,05325650198025291	0,18153936237243157	-0,293360631459067	0,7692465138490885	1	1	1	1
hsa-miR-93-3p	19,5526606681121	-0,5974949511523946	0,3554435254802746	-1,6809842023287964	0,09276598311028579	1	1	1	1
hsa-miR-96-5p	14,131924967464055	-0,09344009515233867	0,47852462266471385	-0,1952670577994667	0,8451838847116515	1	1	1	1
