mirRNA	baseMean	log2FoldChange	lfcSE	stat	pvalue	fdr	bonferroni	homl	BY
hsa-let-7a-5p	138,21859941880268	0,07251420116059994	0,14526376262464963	0,4991898863859877	0,6176456187610605	1	1	1	1
hsa-let-7a-3p	0,41886971252216154	0,04691626232644786	1,9875148421233388	0,02360549029979842	0,9811672927467742	1	1	1	1
hsa-let-7a-2-3p	0,9719081955821081	-1,0778902789272589	1,6457896097378042	-0,6549380750428853	0,512507624679154	1	1	1	1
hsa-let-7b-5p	1987,6334132985867	-0,02306335140624	0,127990681636077	-0,1801955510465778	0,856999051016355	1	1	1	1
hsa-let-7b-3p	3,7775917473946645	0,6790978477926612	0,5892385367009915	1,1525007369592135	0,24911536708964932	1	1	1	1
hsa-let-7c-5p	185,63112601222787	0,04428201270874677	0,20172132418147298	0,21952073182362064	0,8262444320266719	1	1	1	1
hsa-let-7d-5p	64,57866976543113	0,15088126471789678	0,2303304031396548	0,6550644754718459	0,5124262429990881	1	1	1	1
hsa-let-7d-3p	0,869474583578978	1,1111313191481724	1,4224503813314355	0,7811388950580732	0,43472080789559525	1	1	1	1
hsa-let-7e-5p	41,615608982028604	0,1738813355735832	0,19963884841618462	0,8709794559177929	0,3837653705339135	1	1	1	1
hsa-let-7e-3p	0,8578696998993515	1,6975127448387597	1,6937559241424232	1,0022180413616788	0,3162382961365246	1	1	1	1
hsa-let-7f-5p	43,501206332890256	0,35846439953468123	0,20198834358543544	1,7746786431914117	0,07595096364161724	1	1	1	1
hsa-let-7f-1-3p	2,307789372964973	-1,0920711897321018	0,8592755423104412	-1,2709208350044665	0,2037568134187967	1	1	1	1
hsa-miR-15a-5p	38,38080982646667	0,16169560743049022	0,23062855816934685	0,7011083480466445	0,48323540095279155	1	1	1	1
hsa-miR-16-5p	711,7542029249322	0,06396558246571862	0,11906412020618502	0,5372364265149612	0,5911043125678407	1	1	1	1
hsa-miR-17-5p	411,89910428285305	-0,12622121953150878	0,11661348412225217	-1,0823895751128085	0,2790794585652788	1	1	1	1
hsa-miR-17-3p	3,155992960422845	-0,24885786933362908	0,6967251787628329	-0,35718225337502973	0,7209553705728029	1	1	1	1
hsa-miR-18a-5p	44,92001444333998	0,073437091083505	0,21456784497768594	0,34225580767305613	0,7321583898283683	1	1	1	1
hsa-miR-18a-3p	13,174382066240812	0,004843518134118835	0,29833511481426667	0,016235159368129512	0,9870467860360475	1	1	1	1
hsa-miR-19a-3p	5,696923059839199	-0,06005953327608941	0,47786033555799556	-0,12568428222015568	0,8999818441673866	1	1	1	1
hsa-miR-19b-1-5p	0,5037410807201776	1,804766888215437	2,065906064942868	0,8735958129177317	0,38233840724411305	1	1	1	1
hsa-miR-19b-3p	16,06606118306607	0,3869913934412306	0,3065560801507057	1,2623836827864652	0,20681075781139424	1	1	1	1
hsa-miR-20a-5p	298,53532798120176	0,02209907798887888	0,1304044563584274	0,16946566556082823	0,8654303766395853	1	1	1	1
hsa-miR-20a-3p	1,391532839804509	-0,3341897065801438	0,9559269597604674	-0,34959753270677063	0,7266407628485647	1	1	1	1
hsa-miR-21-5p	1018,0473450348401	0,3576949804828266	0,22971786056428398	1,5571056582373561	0,1194454018785194	1	1	1	1
hsa-miR-21-3p	10,411053890440169	0,42413437633358486	0,3649043812589139	1,1623164810198454	0,24510693445815157	1	1	1	1
hsa-miR-22-5p	1,4714836996167036	0,5800575824823705	0,920167456120542	0,6303826315787275	0,5284442715936949	1	1	1	1
hsa-miR-22-3p	15,262757022232643	-2,3992993413433407e-5	0,3454963175897576	-6,944500474220016e-5	0,9999445909029359	1	1	1	1
hsa-miR-23a-5p	2,154517174027036	0,13871888812436614	1,0512330642703636	0,1319582620060069	0,8950173050729768	1	1	1	1
hsa-miR-23a-3p	746,8193359682133	-0,06197351092291179	0,1210608707143011	-0,5119202477005708	0,6087068267985112	1	1	1	1
