Sample	Unique Reads	Duplicate Reads
CTR1_1	1359601.0	23598928.0
CTR2_1	1816707.0	29526763.0
CTR3_1	1871972.0	24675025.0
CTR4_1	1915616.0	29450997.0
CTR5_1	1735075.0	28889071.0
CTR6_1	2053491.0	25030274.0
GEMTX1_1	1584533.0	20815720.0
GEMTX2_1	1423455.0	21280524.0
GEMTX3_1	1706068.0	22926677.0
GEMTX5_1	1661202.0	23263998.0
GEMTX6_1	1707576.0	22737236.0
SIM1_1	1400624.0	22349236.0
SIM2_1	2026004.0	29479321.0
SIM3_1	1807285.0	29320476.0
SIM4_1	1703075.0	21065141.0
SIM5_1	1935809.0	26074660.0
SIM6_1	1632465.0	22112407.0
VPA1_1	1659331.0	24147897.0
VPA2_1	1323719.0	20128286.0
VPA3_1	1497604.0	22770929.0
VPA4_1	1521492.0	21702746.0
VPA5_1	1378955.0	23399523.0
VPA6_1	1682799.0	23666518.0
VPASM1_1	1358737.0	21301442.0
VPASM2_1	2189977.0	29069598.0
VPASM3_1	1609927.0	20982586.0
VPASM5_1	1673415.0	24454196.0
VPASM6_1	1285650.0	20737770.0
VSGTX1_1	2002961.0	22516929.0
VSGTX2_1	1274551.0	21653684.0
VSGTX3_1	1375516.0	21418745.0
VSGTX4_1	1776713.0	22292032.0
VSGTX5_1	2005045.0	22096660.0
VSGTX6_1	1644509.0	25270515.0
