Sample	ref_miRNA	iso_3p	iso_5p	iso_add3p	iso_snv_seed	iso_snv_central_offset	iso_snv_central	iso_snv_central_supp
CTR1_1_seqcluster	19.0	69815.0	81662.0	3671.0	3512.0	103.0	776.0	1334.0
CTR2_1_seqcluster	95.0	43938.0	53035.0	5133.0	5111.0	235.0	3540.0	2347.0
CTR3_1_seqcluster	9.0	59198.0	69690.0	3859.0	5174.0	104.0	425.0	3097.0
CTR4_1_seqcluster	77.0	60874.0	72114.0	4485.0	5613.0	162.0	2094.0	2565.0
CTR5_1_seqcluster	38.0	71333.0	83532.0	4103.0	5365.0	140.0	1595.0	1905.0
CTR6_1_seqcluster	21.0	57271.0	66756.0	3193.0	6670.0	93.0	556.0	1749.0
GEMTX1_1_seqcluster	38.0	49836.0	58999.0	3424.0	3131.0	145.0	1435.0	1744.0
GEMTX2_1_seqcluster	23.0	51061.0	58502.0	2781.0	2993.0	89.0	371.0	1513.0
GEMTX3_1_seqcluster	62.0	45028.0	53516.0	3110.0	4975.0	150.0	1303.0	1899.0
GEMTX5_1_seqcluster	139.0	39304.0	48364.0	3754.0	4060.0	154.0	2778.0	1834.0
GEMTX6_1_seqcluster	99.0	33054.0	40930.0	4328.0	3663.0	238.0	3383.0	2012.0
SIM1_1_seqcluster	29.0	33843.0	42441.0	4572.0	3091.0	141.0	1943.0	1889.0
SIM2_1_seqcluster	40.0	48469.0	57772.0	4992.0	4958.0	167.0	1993.0	3629.0
SIM3_1_seqcluster	20.0	67467.0	81674.0	4514.0	4292.0	140.0	840.0	2449.0
SIM4_1_seqcluster	21.0	56219.0	64848.0	3628.0	3646.0	126.0	663.0	2677.0
SIM5_1_seqcluster	94.0	67077.0	79811.0	4144.0	3512.0	150.0	2365.0	1688.0
SIM6_1_seqcluster	37.0	48353.0	58751.0	3628.0	2789.0	100.0	1260.0	1481.0
VPA1_1_seqcluster	76.0	46430.0	56808.0	4002.0	2885.0	142.0	2616.0	1761.0
VPA2_1_seqcluster	26.0	34778.0	40988.0	3356.0	3237.0	129.0	923.0	1867.0
VPA3_1_seqcluster	16.0	50143.0	59218.0	3388.0	3615.0	100.0	822.0	1788.0
VPA4_1_seqcluster	23.0	40007.0	47052.0	2671.0	3837.0	134.0	887.0	2136.0
VPA5_1_seqcluster	75.0	34102.0	42827.0	3445.0	2857.0	127.0	2176.0	1453.0
VPA6_1_seqcluster	46.0	50001.0	58148.0	3122.0	5174.0	114.0	1101.0	1420.0
VPASM1_1_seqcluster	7.0	56778.0	64417.0	2665.0	2735.0	113.0	432.0	1188.0
VPASM2_1_seqcluster	112.0	45340.0	54286.0	4371.0	3773.0	247.0	2711.0	2725.0
VPASM3_1_seqcluster	17.0	54236.0	62882.0	3058.0	3062.0	109.0	942.0	1702.0
VPASM5_1_seqcluster	83.0	34087.0	40922.0	3715.0	2988.0	268.0	2948.0	2231.0
VPASM6_1_seqcluster	6.0	40720.0	49314.0	2904.0	3069.0	62.0	698.0	1979.0
VSGTX1_1_seqcluster	16.0	47180.0	54187.0	4088.0	5480.0	84.0	422.0	3551.0
VSGTX2_1_seqcluster	7.0	31310.0	36626.0	2165.0	2696.0	55.0	287.0	1807.0
VSGTX3_1_seqcluster	8.0	48304.0	58414.0	3088.0	3065.0	92.0	907.0	1392.0
VSGTX4_1_seqcluster	22.0	50941.0	57547.0	4515.0	4522.0	87.0	462.0	3528.0
VSGTX5_1_seqcluster	40.0	45864.0	53229.0	3134.0	4558.0	108.0	452.0	2369.0
VSGTX6_1_seqcluster	52.0	60476.0	70107.0	3022.0	5207.0	91.0	400.0	1613.0
