Sample	ref_miRNA	iso_3p	iso_5p	iso_add3p	iso_snv_seed	iso_snv_central_offset	iso_snv_central	iso_snv_central_supp
CTR1_1_seqcluster	5.0	3540.0	4099.0	871.0	574.0	61.0	246.0	248.0
CTR2_1_seqcluster	5.0	3016.0	3396.0	604.0	597.0	50.0	256.0	271.0
CTR3_1_seqcluster	2.0	3605.0	4068.0	774.0	666.0	69.0	239.0	206.0
CTR4_1_seqcluster	4.0	3633.0	4078.0	772.0	659.0	65.0	269.0	246.0
CTR5_1_seqcluster	6.0	3616.0	4127.0	838.0	615.0	63.0	257.0	262.0
CTR6_1_seqcluster	3.0	3626.0	4023.0	750.0	641.0	60.0	261.0	210.0
GEMTX1_1_seqcluster	5.0	3197.0	3715.0	768.0	567.0	54.0	279.0	248.0
GEMTX2_1_seqcluster	1.0	2945.0	3413.0	726.0	494.0	55.0	205.0	176.0
GEMTX3_1_seqcluster	4.0	3001.0	3501.0	742.0	562.0	56.0	235.0	236.0
GEMTX5_1_seqcluster	7.0	2758.0	3216.0	690.0	526.0	54.0	257.0	242.0
GEMTX6_1_seqcluster	6.0	2768.0	3070.0	515.0	508.0	60.0	300.0	275.0
SIM1_1_seqcluster	9.0	2900.0	3281.0	649.0	541.0	55.0	205.0	204.0
SIM2_1_seqcluster	7.0	3235.0	3654.0	739.0	614.0	63.0	285.0	284.0
SIM3_1_seqcluster	2.0	3945.0	4494.0	931.0	754.0	59.0	274.0	246.0
SIM4_1_seqcluster	4.0	3173.0	3626.0	758.0	538.0	59.0	215.0	230.0
SIM5_1_seqcluster	5.0	3707.0	4249.0	862.0	706.0	65.0	278.0	271.0
SIM6_1_seqcluster	5.0	3212.0	3758.0	886.0	588.0	49.0	253.0	217.0
VPA1_1_seqcluster	6.0	3133.0	3632.0	735.0	547.0	55.0	260.0	242.0
VPA2_1_seqcluster	5.0	2898.0	3270.0	613.0	529.0	48.0	214.0	215.0
VPA3_1_seqcluster	1.0	2950.0	3418.0	698.0	510.0	52.0	215.0	222.0
VPA4_1_seqcluster	6.0	2882.0	3279.0	614.0	548.0	43.0	202.0	205.0
VPA5_1_seqcluster	4.0	2842.0	3284.0	687.0	539.0	50.0	218.0	206.0
VPA6_1_seqcluster	3.0	3010.0	3438.0	701.0	526.0	55.0	240.0	221.0
VPASM1_1_seqcluster	2.0	3274.0	3682.0	648.0	506.0	61.0	230.0	199.0
VPASM2_1_seqcluster	6.0	3601.0	3986.0	718.0	725.0	65.0	332.0	327.0
VPASM3_1_seqcluster	4.0	3356.0	3774.0	678.0	659.0	49.0	239.0	257.0
VPASM5_1_seqcluster	6.0	2567.0	2843.0	473.0	517.0	56.0	276.0	257.0
VPASM6_1_seqcluster	2.0	2754.0	3223.0	736.0	523.0	39.0	207.0	180.0
VSGTX1_1_seqcluster	3.0	3127.0	3542.0	660.0	553.0	54.0	232.0	213.0
VSGTX2_1_seqcluster	3.0	2413.0	2797.0	553.0	391.0	40.0	172.0	175.0
VSGTX3_1_seqcluster	3.0	2911.0	3451.0	801.0	504.0	42.0	225.0	199.0
VSGTX4_1_seqcluster	4.0	3132.0	3540.0	673.0	555.0	43.0	222.0	201.0
VSGTX5_1_seqcluster	5.0	3083.0	3504.0	688.0	585.0	60.0	245.0	221.0
VSGTX6_1_seqcluster	4.0	3099.0	3662.0	811.0	531.0	62.0	221.0	207.0
