Sample	rodents	primates
CTR2_1	762.0	1086.0
CTR3_1	1494.0	2486.0
CTR4_1	1550.0	2031.0
CTR5_1	2359.0	2263.0
CTR6_1	1417.0	2433.0
C_1	2157.0	2030.0
GEMTX1_1	2621.0	1397.0
GEMTX2_1	2069.0	1563.0
GEMTX3_1	1572.0	1258.0
GEMTX5_1	1244.0	1202.0
GEMTX6_1	742.0	751.0
SIM1_1	1004.0	1241.0
SIM2_1	1336.0	1522.0
SIM3_1	2282.0	2696.0
SIM4_1	1388.0	1915.0
SIM5_1	1500.0	2118.0
SIM6_1	2786.0	1778.0
VPA1_1	2078.0	1242.0
VPA2_1	761.0	1130.0
VPA3_1	1287.0	1298.0
VPA4_1	1442.0	1747.0
VPA5_1	669.0	1351.0
VPA6_1	1845.0	1460.0
VPASM1_1	3215.0	1346.0
VPASM2_1	1487.0	1661.0
VPASM3_1	1054.0	1890.0
VPASM5_1	704.0	977.0
VPASM6_1	2246.0	1956.0
VSGTX1_1	2146.0	1523.0
VSGTX2_1	2286.0	977.0
VSGTX3_1	2506.0	1857.0
VSGTX4_1	2289.0	1637.0
VSGTX5_1	1411.0	1569.0
VSGTX6_1	2406.0	1668.0
