Sample	Reads ≥ 18 nt after adapter removal	Reads without adapter	Reads < 18 nt after adapter removal	Reads with low complexity	Reads with low PHRED score
CTR2_1	18390392.0	7295924.0	5569551.0	69015.0	18588.0
CTR3_1	13888566.0	8123513.0	4418658.0	100811.0	15449.0
CTR4_1	17459990.0	8441108.0	5350581.0	96726.0	18208.0
CTR5_1	17357885.0	8029566.0	5115515.0	103224.0	17956.0
CTR6_1	14704879.0	8064977.0	4204480.0	93760.0	15669.0
C_1	13799977.0	8203031.0	2850912.0	90062.0	14547.0
GEMTX1_1	12164867.0	5788687.0	4356194.0	77455.0	13050.0
GEMTX2_1	13418033.0	5849398.0	3343070.0	80332.0	13146.0
GEMTX3_1	12842500.0	7815877.0	3887825.0	72218.0	14325.0
GEMTX5_1	12956884.0	7082661.0	4798652.0	72445.0	14558.0
GEMTX6_1	13751920.0	5609059.0	4980759.0	88870.0	14204.0
SIM1_1	11719853.0	7661252.0	4283577.0	71244.0	13934.0
SIM2_1	15793067.0	9431595.0	6157611.0	112460.0	10592.0
SIM3_1	15475858.0	9713680.0	5796206.0	124004.0	18013.0
SIM4_1	11603869.0	6546467.0	4521533.0	83142.0	13205.0
SIM5_1	14663951.0	7307175.0	5911256.0	117210.0	10877.0
SIM6_1	12572473.0	6677173.0	4399379.0	81955.0	13892.0
VPA1_1	13984798.0	6247844.0	5476530.0	82752.0	15304.0
VPA2_1	11204265.0	7218295.0	2963356.0	53519.0	12570.0
VPA3_1	11702551.0	9443765.0	3030636.0	77249.0	14332.0
VPA4_1	11973489.0	7734573.0	3433144.0	69344.0	13688.0
VPA5_1	11733145.0	9199104.0	3764894.0	66590.0	14745.0
VPA6_1	13924327.0	8147148.0	3193484.0	69380.0	14978.0
VPASM1_1	13680286.0	6399433.0	2481704.0	85504.0	13252.0
VPASM2_1	16869971.0	6449871.0	7817858.0	110116.0	11759.0
VPASM3_1	12002562.0	6193337.0	4298061.0	85301.0	13252.0
VPASM5_1	14543611.0	6178131.0	5332629.0	58052.0	15188.0
VPASM6_1	11386421.0	6740315.0	3801398.0	82622.0	12664.0
VSGTX1_1	13452683.0	6485586.0	4467740.0	99354.0	14527.0
VSGTX2_1	14534053.0	5539237.0	2771002.0	70374.0	13569.0
VSGTX3_1	12506427.0	7179169.0	3029386.0	65766.0	13513.0
VSGTX4_1	14351361.0	5142908.0	4467283.0	93158.0	14035.0
VSGTX5_1	12314332.0	7176292.0	4508751.0	88151.0	14179.0
VSGTX6_1	14352783.0	7839697.0	4599599.0	107248.0	15697.0
