Sample	miRNA	rRNA	tRNA	Artifact	Unknown
CTR2_1	3295374.0	10862117.0	3992374.0	86498.0	7449953.0
CTR3_1	6589991.0	1472623.0	4030454.0	89555.0	9829456.0
CTR4_1	5655959.0	6217122.0	4851906.0	177497.0	8998614.0
CTR5_1	6288154.0	4004404.0	5876035.0	99604.0	9119254.0
CTR6_1	6305784.0	1136459.0	5008941.0	90161.0	10228511.0
C_1	5457749.0	1701107.0	5669225.0	71195.0	9103732.0
GEMTX1_1	4492261.0	4045044.0	3168204.0	96866.0	6151179.0
GEMTX2_1	4747612.0	1014601.0	6403234.0	61142.0	7040842.0
GEMTX3_1	4171413.0	3738113.0	4064407.0	69148.0	8615296.0
GEMTX5_1	3421611.0	6247634.0	3045003.0	71979.0	7253318.0
GEMTX6_1	1965110.0	9525319.0	2214825.0	85588.0	5570137.0
SIM1_1	3502700.0	5622179.0	2160544.0	67965.0	8027717.0
SIM2_1	4258631.0	6641886.0	3850693.0	105966.0	10367486.0
SIM3_1	8186896.0	2661587.0	3407919.0	98107.0	10835029.0
SIM4_1	5697798.0	2291045.0	2342066.0	79981.0	7739446.0
SIM5_1	5669037.0	5292775.0	2788357.0	101649.0	8119308.0
SIM6_1	5268179.0	3543556.0	2881232.0	77419.0	7479260.0
VPA1_1	3692221.0	7321612.0	2457123.0	89803.0	6671883.0
VPA2_1	3334017.0	3937579.0	3272525.0	56970.0	7821469.0
VPA3_1	4024005.0	2316145.0	4275395.0	58975.0	10471796.0
VPA4_1	4542034.0	3030137.0	3876739.0	66374.0	8192778.0
VPA5_1	3663623.0	5876568.0	2357254.0	64422.0	8970382.0
VPA6_1	4295834.0	3018527.0	5548264.0	72164.0	9136686.0
VPASM1_1	5205113.0	994917.0	6090663.0	78684.0	7710342.0
VPASM2_1	5065938.0	8337925.0	2491132.0	114472.0	7310375.0
VPASM3_1	5561095.0	2651325.0	2430229.0	76494.0	7476756.0
VPASM5_1	2739224.0	9874490.0	2189187.0	81743.0	5837098.0
VPASM6_1	5305226.0	2321678.0	3059834.0	68449.0	7371549.0
VSGTX1_1	4401482.0	1926810.0	5561298.0	88825.0	7959854.0
VSGTX2_1	4050983.0	1275652.0	7898177.0	74799.0	6773679.0
VSGTX3_1	5700800.0	2395068.0	3485253.0	81061.0	8023414.0
VSGTX4_1	4626665.0	1825976.0	6311715.0	96274.0	6633639.0
VSGTX5_1	4725720.0	1657278.0	4233459.0	71233.0	8802934.0
VSGTX6_1	4768813.0	1401866.0	6661649.0	68905.0	9291247.0
