Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
CTR1_1	CTR1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24958529.0	0.0	101.0	50.0	5.447437275995415	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
CTR2_1	CTR2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31343470.0	0.0	101.0	55.0	5.796125175429522	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
CTR3_1	CTR3_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26546997.0	0.0	101.0	52.0	7.051536390691025	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
CTR4_1	CTR4_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31366613.0	0.0	101.0	55.0	6.107179681144888	101.0	pass	fail	pass	pass	fail	warn	pass	pass	fail	fail	fail
CTR5_1	CTR5_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30624146.0	0.0	101.0	51.0	5.665708621796652	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
CTR6_1	CTR6_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27083765.0	0.0	101.0	49.0	7.58199948512575	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
GEMTX1_1	GEMTX1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22400253.0	0.0	101.0	51.0	7.0737248687194745	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
GEMTX2_1	GEMTX2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22703979.0	0.0	101.0	53.0	6.269625473248443	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
GEMTX3_1	GEMTX3_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24632745.0	0.0	101.0	50.0	6.92601318487409	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
GEMTX5_1	GEMTX5_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24925200.0	0.0	101.0	53.0	6.6647464060103605	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
