Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	mirtop_mqc-generalstats-mirtop-ref_miRNA_sum	mirtop_mqc-generalstats-mirtop-isomiR_perc	mirtop_mqc-generalstats-mirtop-isomiR_sum	mirtop_mqc-generalstats-mirtop-read_count
CTR1_1	94.55256272400459	50.0	101.0	45.45454545454545	24958529.0											
CTR1_1_mature						0.005565457	0.0	76514.0	0.9551386670002173	0.0	0.0	8010774.0				
CTR1_1_mature_hairpin						0.04769947	0.0	27547.0	0.34693115733221563	0.0	0.0	7940192.0				
CTR1_1_seqcluster													19.0	0.0	0.0	19.0
CTR2_1	94.20387482457048	55.0	101.0	45.45454545454545	31343470.0											
CTR2_1_mature						0.02270933	0.0	39832.0	0.3272864117636426	0.0	0.0	12170380.0				
CTR2_1_mature_hairpin						0.06220428	0.0	48578.0	0.4002645249353313	0.0	0.0	12136474.0				
CTR2_1_seqcluster													95.0	99.82739825581395	54945.0	55040.0
CTR3_1	92.94846360930897	52.0	101.0	45.45454545454545	26546997.0											
CTR3_1_mature						0.005698161	0.0	73331.0	1.0763943321925147	0.0	0.0	6812652.0				
CTR3_1_mature_hairpin						0.05263852	0.0	31370.0	0.4651630398678978	0.0	0.0	6743872.0				
CTR3_1_seqcluster													9.0	99.98734212821017	71093.0	71102.0
CTR4_1	93.89282031885512	55.0	101.0	45.45454545454545	31366613.0											
CTR4_1_mature						0.01164205	0.0	63182.0	0.6258590058983214	0.0	0.0	10095245.0				
CTR4_1_mature_hairpin						0.05632794	0.0	41828.0	0.41669688519377185	0.0	0.0	10037992.0				
CTR4_1_seqcluster													77.0	99.89578539912839	73809.0	73886.0
CTR5_1	94.33429137820335	51.0	101.0	45.45454545454545	30624146.0											
CTR5_1_mature						0.008847971	0.0	75706.0	0.7682659268084278	0.0	0.0	9854140.0				
CTR5_1_mature_hairpin						0.05560772	0.0	33370.0	0.34108590836840014	0.0	0.0	9783459.0				
CTR5_1_seqcluster													38.0	99.95527675450468	84929.0	84967.0
CTR6_1	92.41800051487425	49.0	101.0	45.45454545454545	27083765.0											
CTR6_1_mature						0.01021742	0.0	70222.0	0.8785325146607662	0.0	0.0	7993102.0				
CTR6_1_mature_hairpin						0.0466364	0.0	35971.0	0.4537497202774444	0.0	0.0	7927498.0				
CTR6_1_seqcluster													21.0	99.96910401647786	67949.0	67970.0
GEMTX1_1	92.92627513128052	51.0	101.0	45.45454545454545	22400253.0											
GEMTX1_1_mature						0.008782359	0.0	54342.0	0.8264152372343391	0.0	0.0	6575629.0				
GEMTX1_1_mature_hairpin						0.06198882	0.0	28412.0	0.43540212171950426	0.0	0.0	6525462.0				
GEMTX1_1_seqcluster													38.0	99.93682670567895	60114.0	60152.0
GEMTX2_1	93.73037452675156	53.0	101.0	45.45454545454545	22703979.0											
GEMTX2_1_mature						0.005760527	0.0	53538.0	0.6421179120769333	0.0	0.0	8337721.0				
GEMTX2_1_mature_hairpin						0.05035951	0.0	22457.0	0.27098649001361025	0.0	0.0	8287129.0				
GEMTX2_1_seqcluster													23.0	99.96124553481161	59325.0	59348.0
GEMTX3_1	93.0739868151259	50.0	101.0	45.45454545454545	24632745.0											
GEMTX3_1_mature						0.01130235	0.0	52746.0	0.6777296813760794	0.0	0.0	7782749.0				
GEMTX3_1_mature_hairpin						0.06016906	0.0	31488.0	0.40710052194662005	0.0	0.0	7734699.0				
GEMTX3_1_seqcluster													62.0	99.88647391646678	54551.0	54613.0
GEMTX5_1	93.33525359398963	53.0	101.0	45.45454545454545	24925200.0											
GEMTX5_1_mature						0.01245348	0.0	48018.0	0.6142125389255182	0.0	0.0	7817815.0				
GEMTX5_1_mature_hairpin						0.0642902	0.0	32393.0	0.4166367626604559	0.0	0.0	7774878.0				
GEMTX5_1_seqcluster													139.0	99.72138705151333	49751.0	49890.0
GEMTX6_1	93.0145680944013	55.0	101.0	36.36363636363637	24444812.0											
GEMTX6_1_mature						0.02325978	0.0	30595.0	0.32572353582772584	0.0	0.0	9392935.0				
GEMTX6_1_mature_hairpin						0.06510408	0.0	46421.0	0.4955107183640515	0.0	0.0	9368314.0				
GEMTX6_1_seqcluster													99.0	99.76994934238044	42935.0	43034.0
SIM1_1	94.10260398713581	54.0	101.0	36.36363636363637	23749860.0											
SIM1_1_mature						0.01235081	0.0	42686.0	0.6413167802309888	0.0	0.0	6655993.0				
SIM1_1_mature_hairpin						0.06436776	0.0	30500.0	0.46088227676449156	0.0	0.0	6617742.0				
SIM1_1_seqcluster													29.0	99.93348166158222	43568.0	43597.0
SIM2_1	93.56933108802387	52.0	101.0	45.45454545454545	31505325.0											
SIM2_1_mature						0.01154504	0.0	54220.0	0.5606251125101809	0.0	0.0	9671347.0				
SIM2_1_mature_hairpin						0.05985677	0.0	46724.0	0.4855560985956139	0.0	0.0	9622781.0				
SIM2_1_seqcluster													40.0	99.93261228478049	59318.0	59358.0
SIM3_1	94.19397846750314	51.0	101.0	45.45454545454545	31127761.0											
SIM3_1_mature						0.004879482	0.0	89119.0	1.35409205680565	0.0	0.0	6581458.0				
SIM3_1_mature_hairpin						0.05736938	0.0	35713.0	0.5496151862648067	0.0	0.0	6497819.0				
SIM3_1_seqcluster													20.0	99.97596009375563	83175.0	83195.0
SIM4_1	92.51994873762337	52.0	101.0	45.45454545454545	22768216.0											
SIM4_1_mature						0.005787743	0.0	57844.0	1.1165849071864373	0.0	0.0	5180439.0				
SIM4_1_mature_hairpin						0.05653192	0.0	29282.0	0.5711627380779385	0.0	0.0	5126735.0				
SIM4_1_seqcluster													21.0	99.96815479801043	65923.0	65944.0
SIM5_1	93.08898150800233	54.0	101.0	36.36363636363637	28010469.0											
SIM5_1_mature						0.007330139	0.0	70319.0	0.9590941614176247	0.0	0.0	7331814.0				
SIM5_1_mature_hairpin						0.0557652	0.0	36057.0	0.49615250294400054	0.0	0.0	7267322.0				
SIM5_1_seqcluster													94.0	99.88467531192875	81415.0	81509.0
SIM6_1	93.12497960473547	54.0	101.0	45.45454545454545	23744872.0											
SIM6_1_mature						0.006129649	0.0	63115.0	1.0217326409866394	0.0	0.0	6177252.0				
SIM6_1_mature_hairpin						0.05669796	0.0	26994.0	0.44118086895666464	0.0	0.0	6118579.0				
SIM6_1_seqcluster													37.0	99.9381560473357	59791.0	59828.0
VPA1_1	93.57028844576162	53.0	101.0	45.45454545454545	25807228.0											
VPA1_1_mature						0.01027676	0.0	52768.0	0.668356641629469	0.0	0.0	7895186.0				
VPA1_1_mature_hairpin						0.06818987	0.0	33992.0	0.43316793043418866	0.0	0.0	7847303.0				
VPA1_1_seqcluster													76.0	99.8696397941681	58224.0	58300.0
VPA2_1	93.82939592348527	51.0	101.0	36.36363636363637	21452005.0											
VPA2_1_mature						0.01130901	0.0	38664.0	0.5515722319388054	0.0	0.0	7009780.0				
VPA2_1_mature_hairpin						0.04942536	0.0	32300.0	0.4630625206084326	0.0	0.0	6975300.0				
VPA2_1_seqcluster													26.0	99.93823934628723	42072.0	42098.0
VPA3_1	93.82903044997984	49.0	101.0	36.36363636363637	24268533.0											
VPA3_1_mature						0.007868893	0.0	53026.0	0.7350124059160279	0.0	0.0	7214300.0				
VPA3_1_mature_hairpin						0.0506697	0.0	30733.0	0.42879879272762383	0.0	0.0	7167231.0				
VPA3_1_seqcluster													16.0	99.97340116037438	60137.0	60153.0
VPA4_1	93.44869100079897	52.0	101.0	45.45454545454545	23224238.0											
VPA4_1_mature						0.00810531	0.0	49010.0	0.7075574527700708	0.0	0.0	6926646.0				
VPA4_1_mature_hairpin						0.05681362	0.0	28110.0	0.4084361906721369	0.0	0.0	6882348.0				
VPA4_1_seqcluster													23.0	99.95208932216806	47983.0	48006.0
VPA5_1	94.43487125474911	53.0	101.0	36.36363636363637	24778478.0											
VPA5_1_mature						0.01029838	0.0	44830.0	0.6577868136853698	0.0	0.0	6815278.0				
