Sample	iso_3p_sum	iso_5p_sum	iso_add3p_sum	iso_snv_sum	iso_snv_central_sum	iso_snv_central_offset_sum	iso_snv_central_supp_sum	iso_snv_seed_sum	isomiR_sum	ref_miRNA_sum	ref_miRNA_mean	iso_3p_count	iso_5p_count	iso_add3p_count	iso_snv_count	iso_snv_central_count	iso_snv_central_offset_count	iso_snv_central_supp_count	iso_snv_seed_count	isomiR_count	ref_miRNA_count	iso_3p_mean	iso_5p_mean	iso_add3p_mean	iso_snv_mean	iso_snv_central_mean	iso_snv_central_offset_mean	iso_snv_central_supp_mean	iso_snv_seed_mean	isomiR_mean	read_count	isomiR_perc
CTR1_1_seqcluster	69815.0	81662.0	3671.0	3019.0	776.0	103.0	1334.0	3512.0	0.0	19.0	3.8	3540.0	4099.0	871.0	1054.0	246.0	61.0	248.0	574.0	4331.0	5.0	19.721751412429377	19.922420102464017	4.214695752009185	2.864326375711575	3.154471544715447	1.6885245901639345	5.379032258064516	6.118466898954704	19.07619487416301	19.0	0.0
CTR2_1_seqcluster	43938.0	53035.0	5133.0	3767.0	3540.0	235.0	2347.0	5111.0	54945.0	95.0	19.0	3016.0	3396.0	604.0	914.0	256.0	50.0	271.0	597.0	3645.0	5.0	14.568302387267904	15.616902237926974	8.498344370860927	4.121444201312911	13.828125	4.7	8.660516605166052	8.561139028475711	15.074074074074074	55040.0	99.82739825581395
CTR3_1_seqcluster	59198.0	69690.0	3859.0	3887.0	425.0	104.0	3097.0	5174.0	71093.0	9.0	4.5	3605.0	4068.0	774.0	1142.0	239.0	69.0	206.0	666.0	4335.0	2.0	16.42108183079057	17.13126843657817	4.98578811369509	3.403677758318739	1.7782426778242677	1.5072463768115942	15.033980582524272	7.768768768768769	16.399769319492503	71102.0	99.98734212821017
CTR4_1_seqcluster	60874.0	72114.0	4485.0	4294.0	2094.0	162.0	2565.0	5613.0	73809.0	77.0	19.25	3633.0	4078.0	772.0	1139.0	269.0	65.0	246.0	659.0	4350.0	4.0	16.75584916047344	17.683668464933792	5.8095854922279795	3.7699736611062336	7.784386617100372	2.4923076923076923	10.426829268292684	8.517450682852807	16.967586206896552	73886.0	99.89578539912839
CTR5_1_seqcluster	71333.0	83532.0	4103.0	3527.0	1595.0	140.0	1905.0	5365.0	84929.0	38.0	6.333333333333333	3616.0	4127.0	838.0	1097.0	257.0	63.0	262.0	615.0	4379.0	6.0	19.72704646017699	20.240368306275744	4.89618138424821	3.2151321786690974	6.206225680933852	2.2222222222222223	7.270992366412214	8.723577235772357	19.394610641699018	84967.0	99.95527675450468
CTR6_1_seqcluster	57271.0	66756.0	3193.0	3393.0	556.0	93.0	1749.0	6670.0	67949.0	21.0	7.0	3626.0	4023.0	750.0	1087.0	261.0	60.0	210.0	641.0	4285.0	3.0	15.79453943739658	16.59358687546607	4.257333333333333	3.1214351425942963	2.1302681992337167	1.55	8.32857142857143	10.405616224648986	15.857409568261376	67970.0	99.96910401647786
GEMTX1_1_seqcluster	49836.0	58999.0	3424.0	2884.0	1435.0	145.0	1744.0	3131.0	60114.0	38.0	7.6	3197.0	3715.0	768.0	890.0	279.0	54.0	248.0	567.0	3929.0	5.0	15.588364091335627	15.881292059219382	4.458333333333333	3.2404494382022473	5.14336917562724	2.685185185185185	7.032258064516129	5.522045855379189	15.300076355306693	60152.0	99.93682670567895
GEMTX2_1_seqcluster	51061.0	58502.0	2781.0	2238.0	371.0	89.0	1513.0	2993.0	59325.0	23.0	23.0	2945.0	3413.0	726.0	778.0	205.0	55.0	176.0	494.0	3618.0	1.0	17.338200339558576	17.140931731614415	3.830578512396694	2.8766066838046274	1.8097560975609757	1.6181818181818182	8.596590909090908	6.058704453441296	16.397180762852404	59348.0	99.96124553481161
GEMTX3_1_seqcluster	45028.0	53516.0	3110.0	2974.0	1303.0	150.0	1899.0	4975.0	54551.0	62.0	15.5	3001.0	3501.0	742.0	804.0	235.0	56.0	236.0	562.0	3698.0	4.0	15.00433188937021	15.285918309054555	4.191374663072776	3.699004975124378	5.54468085106383	2.6785714285714284	8.046610169491526	8.852313167259787	14.751487290427258	54613.0	99.88647391646678
GEMTX5_1_seqcluster	39304.0	48364.0	3754.0	2993.0	2778.0	154.0	1834.0	4060.0	49751.0	139.0	19.857142857142858	2758.0	3216.0	690.0	727.0	257.0	54.0	242.0	526.0	3420.0	7.0	14.250906453952139	15.038557213930348	5.440579710144927	4.116918844566713	10.809338521400779	2.8518518518518516	7.578512396694215	7.718631178707224	14.547076023391813	49890.0	99.72138705151333
