Sample	bryophytes	lycopods	gymnosperms	monocots	dicots	sponges	nematode	insects	lophotrochozoa	echinoderms	fish	birds_reptiles	rodents	primates
CTR2_1	0	0	0	0	0	0	0	0	0	0	0	0	762	1086
CTR3_1	0	0	0	0	0	0	0	0	0	0	0	0	1494	2486
CTR4_1	0	0	0	0	0	0	0	0	0	0	0	0	1550	2031
CTR5_1	0	0	0	0	0	0	0	0	0	0	0	0	2359	2263
CTR6_1	0	0	0	0	0	0	0	0	0	0	0	0	1417	2433
C_1	0	0	0	0	0	0	0	0	0	0	0	0	2157	2030
GEMTX1_1	0	0	0	0	0	0	0	0	0	0	0	0	2621	1397
GEMTX2_1	0	0	0	0	0	0	0	0	0	0	0	0	2069	1563
GEMTX3_1	0	0	0	0	0	0	0	0	0	0	0	0	1572	1258
GEMTX5_1	0	0	0	0	0	0	0	0	0	0	0	0	1244	1202
GEMTX6_1	0	0	0	0	0	0	0	0	0	0	0	0	742	751
SIM1_1	0	0	0	0	0	0	0	0	0	0	0	0	1004	1241
SIM2_1	0	0	0	0	0	0	0	0	0	0	0	0	1336	1522
SIM3_1	0	0	0	0	0	0	0	0	0	0	0	0	2282	2696
SIM4_1	0	0	0	0	0	0	0	0	0	0	0	0	1388	1915
SIM5_1	0	0	0	0	0	0	0	0	0	0	0	0	1500	2118
SIM6_1	0	0	0	0	0	0	0	0	0	0	0	0	2786	1778
VPA1_1	0	0	0	0	0	0	0	0	0	0	0	0	2078	1242
VPA2_1	0	0	0	0	0	0	0	0	0	0	0	0	761	1130
VPA3_1	0	0	0	0	0	0	0	0	0	0	0	0	1287	1298
VPA4_1	0	0	0	0	0	0	0	0	0	0	0	0	1442	1747
VPA5_1	0	0	0	0	0	0	0	0	0	0	0	0	669	1351
VPA6_1	0	0	0	0	0	0	0	0	0	0	0	0	1845	1460
VPASM1_1	0	0	0	0	0	0	0	0	0	0	0	0	3215	1346
VPASM2_1	0	0	0	0	0	0	0	0	0	0	0	0	1487	1661
VPASM3_1	0	0	0	0	0	0	0	0	0	0	0	0	1054	1890
VPASM5_1	0	0	0	0	0	0	0	0	0	0	0	0	704	977
VPASM6_1	0	0	0	0	0	0	0	0	0	0	0	0	2246	1956
VSGTX1_1	0	0	0	0	0	0	0	0	0	0	0	0	2146	1523
VSGTX2_1	0	0	0	0	0	0	0	0	0	0	0	0	2286	977
VSGTX3_1	0	0	0	0	0	0	0	0	0	0	0	0	2506	1857
VSGTX4_1	0	0	0	0	0	0	0	0	0	0	0	0	2289	1637
VSGTX5_1	0	0	0	0	0	0	0	0	0	0	0	0	1411	1569
VSGTX6_1	0	0	0	0	0	0	0	0	0	0	0	0	2406	1668
