Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
CTR2_1	126204	13711	12925	6311	8618	14432	52419	117741	219884	338272	431962	493571	563698	621039	683101	627936	635717	670311	711882	812062	910425	1270321	2039018	1344612	651698	517013	467088	537560	691133	723490	911345	1021203	1494564	1013990	549607	453088	379427	355419	289286	298480	310718	248294	402249	301174	288704	475361	198540	307845	509914	1710371	3509737
CTR3_1	253948	22175	24233	10387	13704	18996	58337	163949	383228	623464	567015	449827	403847	338620	307079	277846	270156	328627	263516	254351	483893	1388811	3100353	1704788	499583	158270	135545	176593	250425	331868	707021	780539	1140736	842742	403794	261745	134066	110516	132187	137928	88704	90921	322977	144248	114976	640527	111622	99908	519498	2092392	4406516
CTR4_1	239781	23750	23262	10625	13447	20865	70551	156365	287385	428691	479021	505175	538757	547202	589026	508496	487820	513852	511192	605704	781903	1459795	2900833	1716978	601437	314945	280983	324818	426024	534914	934737	1175586	1570743	987186	452958	337600	240666	218589	183653	188809	185878	160847	378132	244003	226598	632095	158087	229863	545607	2142456	4268923
CTR5_1	185322	20008	21199	9120	12179	18720	64984	181923	389016	605677	583081	526430	508373	446649	445732	399750	373502	423123	391171	394956	589367	1418001	3123048	1776533	588728	247642	213385	315975	478818	630925	1090102	1351756	1639944	1046983	519219	336133	190189	167036	144496	154852	131250	111361	321649	162068	134805	565219	119345	141722	494141	2050758	4367781
CTR6_1	174780	20218	21381	9342	12872	18236	52545	142080	336992	569598	544148	455844	421923	354115	326682	288321	268500	275730	246899	238279	474266	1331787	2984256	1590015	471399	145746	120325	151749	174363	193683	378548	630554	1789804	1245398	840988	561021	189242	135044	180330	192282	82017	83093	288121	135740	112961	588538	114459	91667	515575	2010841	4501468
C_1	192785	20149	20193	9154	12479	19080	57948	133079	237266	335636	301894	268616	257995	227250	218292	197469	187362	235573	209524	205935	389400	1096622	2559990	1459763	441134	145672	119454	223892	404393	590566	1183846	1261013	1267398	751992	374959	283184	120156	93822	92104	94153	67641	68433	311576	132889	106656	618485	103714	90902	527847	2211920	4417274
GEMTX1_1	107300	10150	9764	4633	6552	12614	51492	145952	310155	481056	476080	450409	443274	399230	418356	372333	351728	381115	362809	367121	507362	1051013	2300483	1317234	472462	222518	202656	331392	504940	530028	796573	658550	569644	417984	286370	222920	154606	127520	118385	121839	123159	109552	297915	171566	151787	367382	105792	145994	372916	1426705	3050883
GEMTX2_1	155473	13054	12011	5535	7241	13663	50404	141790	309368	500154	431638	353124	314054	245868	230625	205581	199571	231429	200291	184892	342084	1032730	2234536	1189080	360650	111105	112481	310220	614549	901576	1719535	1277284	874163	680672	346311	240421	108043	76859	73893	88944	55437	59813	233972	107151	84474	385881	79111	72284	355628	1604312	3165014
GEMTX3_1	106905	11055	10107	4464	6142	10264	37073	110567	262517	432867	434086	400756	397070	361349	377847	334811	318444	340953	321178	331017	480169	1019502	2126168	1166184	435471	205783	184615	231115	321463	380544	876580	903426	1027274	864333	484897	313109	188054	148280	149225	157297	129453	118068	290371	179799	160326	451538	134039	154952	508866	1917682	4314690
GEMTX5_1	94782	8826	8572	4003	5261	10292	43358	128407	282132	457255	478510	479588	494009	472517	538989	468713	439873	454816	474742	501837	607977	1007831	1924346	1124129	487062	299520	268304	309488	399229	479553	790715	791994	817495	629429	368189	279956	211840	187467	181951	186717	173813	151967	311770	215236	193158	501690	145849	182338	459096	1698843	3691766
GEMTX6_1	218310	24848	18570	7774	10318	13065	40536	100828	199523	309809	381835	447285	507792	525776	630231	554053	540945	538683	606654	661247	701422	917230	1366796	943121	541628	440684	411108	467579	569853	577734	692683	731641	698202	603892	464889	376690	317556	310731	264064	259265	279956	240671	316010	282917	285193	322983	172564	254241	427395	1318270	2549762
