Sample	filename	reads_total	adapter_removed_length_ok	adapter_not_detected	length_shorter_than_18	low_complexity	low_phred	reads_mirna	reads_rrna	reads_trna	reads_artifact	reads_unknown
CTR2_1	CTR2_1.fastq.gz	31343470	18390392	7295924	5569551	69015	18588	3295374	10862117	3992374	86498	7449953
CTR3_1	CTR3_1.fastq.gz	26546997	13888566	8123513	4418658	100811	15449	6589991	1472623	4030454	89555	9829456
CTR4_1	CTR4_1.fastq.gz	31366613	17459990	8441108	5350581	96726	18208	5655959	6217122	4851906	177497	8998614
CTR5_1	CTR5_1.fastq.gz	30624146	17357885	8029566	5115515	103224	17956	6288154	4004404	5876035	99604	9119254
CTR6_1	CTR6_1.fastq.gz	27083765	14704879	8064977	4204480	93760	15669	6305784	1136459	5008941	90161	10228511
C_1	CTR1_1.fastq.gz	24958529	13799977	8203031	2850912	90062	14547	5457749	1701107	5669225	71195	9103732
GEMTX1_1	GEMTX1_1.fastq.gz	22400253	12164867	5788687	4356194	77455	13050	4492261	4045044	3168204	96866	6151179
GEMTX2_1	GEMTX2_1.fastq.gz	22703979	13418033	5849398	3343070	80332	13146	4747612	1014601	6403234	61142	7040842
GEMTX3_1	GEMTX3_1.fastq.gz	24632745	12842500	7815877	3887825	72218	14325	4171413	3738113	4064407	69148	8615296
GEMTX5_1	GEMTX5_1.fastq.gz	24925200	12956884	7082661	4798652	72445	14558	3421611	6247634	3045003	71979	7253318
GEMTX6_1	GEMTX6_1.fastq.gz	24444812	13751920	5609059	4980759	88870	14204	1965110	9525319	2214825	85588	5570137
SIM1_1	SIM1_1.fastq.gz	23749860	11719853	7661252	4283577	71244	13934	3502700	5622179	2160544	67965	8027717
SIM2_1	SIM2_1.fastq.gz	31505325	15793067	9431595	6157611	112460	10592	4258631	6641886	3850693	105966	10367486
SIM3_1	SIM3_1.fastq.gz	31127761	15475858	9713680	5796206	124004	18013	8186896	2661587	3407919	98107	10835029
SIM4_1	SIM4_1.fastq.gz	22768216	11603869	6546467	4521533	83142	13205	5697798	2291045	2342066	79981	7739446
SIM5_1	SIM5_1.fastq.gz	28010469	14663951	7307175	5911256	117210	10877	5669037	5292775	2788357	101649	8119308
SIM6_1	SIM6_1.fastq.gz	23744872	12572473	6677173	4399379	81955	13892	5268179	3543556	2881232	77419	7479260
VPA1_1	VPA1_1.fastq.gz	25807228	13984798	6247844	5476530	82752	15304	3692221	7321612	2457123	89803	6671883
VPA2_1	VPA2_1.fastq.gz	21452005	11204265	7218295	2963356	53519	12570	3334017	3937579	3272525	56970	7821469
VPA3_1	VPA3_1.fastq.gz	24268533	11702551	9443765	3030636	77249	14332	4024005	2316145	4275395	58975	10471796
VPA4_1	VPA4_1.fastq.gz	23224238	11973489	7734573	3433144	69344	13688	4542034	3030137	3876739	66374	8192778
VPA5_1	VPA5_1.fastq.gz	24778478	11733145	9199104	3764894	66590	14745	3663623	5876568	2357254	64422	8970382
VPA6_1	VPA6_1.fastq.gz	25349317	13924327	8147148	3193484	69380	14978	4295834	3018527	5548264	72164	9136686
VPASM1_1	VPASM1_1.fastq.gz	22660179	13680286	6399433	2481704	85504	13252	5205113	994917	6090663	78684	7710342
VPASM2_1	VPASM2_1.fastq.gz	31259575	16869971	6449871	7817858	110116	11759	5065938	8337925	2491132	114472	7310375
VPASM3_1	VPASM3_1.fastq.gz	22592513	12002562	6193337	4298061	85301	13252	5561095	2651325	2430229	76494	7476756
VPASM5_1	VPASM5_1.fastq.gz	26127611	14543611	6178131	5332629	58052	15188	2739224	9874490	2189187	81743	5837098
VPASM6_1	VPASM6_1.fastq.gz	22023420	11386421	6740315	3801398	82622	12664	5305226	2321678	3059834	68449	7371549
VSGTX1_1	VSGTX1_1.fastq.gz	24519890	13452683	6485586	4467740	99354	14527	4401482	1926810	5561298	88825	7959854
VSGTX2_1	VSGTX2_1.fastq.gz	22928235	14534053	5539237	2771002	70374	13569	4050983	1275652	7898177	74799	6773679
VSGTX3_1	VSGTX3_1.fastq.gz	22794261	12506427	7179169	3029386	65766	13513	5700800	2395068	3485253	81061	8023414
VSGTX4_1	VSGTX4_1.fastq.gz	24068745	14351361	5142908	4467283	93158	14035	4626665	1825976	6311715	96274	6633639
VSGTX5_1	VSGTX5_1.fastq.gz	24101705	12314332	7176292	4508751	88151	14179	4725720	1657278	4233459	71233	8802934
VSGTX6_1	VSGTX6_1.fastq.gz	26915024	14352783	7839697	4599599	107248	15697	4768813	1401866	6661649	68905	9291247
