Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
CTR1_1_mature	8010774.0	0.0	8010774.0	1.0	8010774.0	0.0	76514.0	0.0	7934260.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	197627044.0	197627044.0	0.0	1322443.0	1322443.0	0.0	0.0	7360.0	0.005565457	24.0	25.0	0.0	40.0	40.0	0.0	36.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9551386670002173	0.0	99.04486133299977	0.0	0.0	0.0	0.0	0.0
CTR1_1_mature_hairpin	7940192.0	0.0	7940192.0	1.0	7940192.0	0.0	27547.0	0.0	7912645.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	196415821.0	196415821.0	0.0	582669.0	582669.0	0.0	0.0	27793.0	0.04769947	24.0	25.0	0.0	40.0	40.0	0.0	36.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34693115733221563	0.0	99.65306884266778	0.0	0.0	0.0	0.0	0.0
CTR2_1_mature	12170380.0	0.0	12170380.0	1.0	12170380.0	0.0	39832.0	0.0	12130548.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	313471861.0	313471861.0	0.0	691522.0	691522.0	0.0	0.0	15704.0	0.02270933	25.0	26.0	0.0	40.0	40.0	0.0	36.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3272864117636426	0.0	99.67271358823636	0.0	0.0	0.0	0.0	0.0
CTR2_1_mature_hairpin	12136474.0	0.0	12136474.0	1.0	12136474.0	0.0	48578.0	0.0	12087896.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	312889528.0	312889528.0	0.0	963744.0	963744.0	0.0	0.0	59949.0	0.06220428	25.0	26.0	0.0	40.0	40.0	0.0	36.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4002645249353313	0.0	99.59973547506466	0.0	0.0	0.0	0.0	0.0
CTR3_1_mature	6812652.0	0.0	6812652.0	1.0	6812652.0	0.0	73331.0	0.0	6739321.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	173793599.0	173793599.0	0.0	1268304.0	1268304.0	0.0	0.0	7227.0	0.005698161	25.0	26.0	0.0	40.0	40.0	0.0	36.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0763943321925147	0.0	98.9236056678075	0.0	0.0	0.0	0.0	0.0
CTR3_1_mature_hairpin	6743872.0	0.0	6743872.0	1.0	6743872.0	0.0	31370.0	0.0	6712502.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	172612891.0	172612891.0	0.0	652127.0	652127.0	0.0	0.0	34327.0	0.05263852	25.0	26.0	0.0	40.0	40.0	0.0	36.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4651630398678978	0.0	99.5348369601321	0.0	0.0	0.0	0.0	0.0
CTR4_1_mature	10095245.0	0.0	10095245.0	1.0	10095245.0	0.0	63182.0	0.0	10032063.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	258922316.0	258922316.0	0.0	1094309.0	1094309.0	0.0	0.0	12740.0	0.01164205	25.0	26.0	0.0	40.0	40.0	0.0	36.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6258590058983214	0.0	99.37414099410168	0.0	0.0	0.0	0.0	0.0
CTR4_1_mature_hairpin	10037992.0	0.0	10037992.0	1.0	10037992.0	0.0	41828.0	0.0	9996164.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	257938824.0	257938824.0	0.0	852703.0	852703.0	0.0	0.0	48031.0	0.05632794	25.0	26.0	0.0	40.0	40.0	0.0	36.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41669688519377185	0.0	99.58330311480623	0.0	0.0	0.0	0.0	0.0
CTR5_1_mature	9854140.0	0.0	9854140.0	1.0	9854140.0	0.0	75706.0	0.0	9778434.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	245507626.0	245507626.0	0.0	1310583.0	1310583.0	0.0	0.0	11596.0	0.008847971	24.0	25.0	0.0	40.0	40.0	0.0	36.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7682659268084278	0.0	99.23173407319157	0.0	0.0	0.0	0.0	0.0
CTR5_1_mature_hairpin	9783459.0	0.0	9783459.0	1.0	9783459.0	0.0	33370.0	0.0	9750089.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	244291399.0	244291399.0	0.0	677316.0	677316.0	0.0	0.0	37664.0	0.05560772	24.0	25.0	0.0	40.0	40.0	0.0	36.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34108590836840014	0.0	99.6589140916316	0.0	0.0	0.0	0.0	0.0
